Year,HBR,HBRQF,AgeGroup,AgeGroupQF,Sex,SexQF,Diagnosis,NumberOfDeaths,NumberOfDeathsQF,CrudeRate,CrudeRateQF,EASR
2012,S08000015,,75plus years,,Males,,Coronary Heart Disease,185,,1422.09239757091,,1538.0809685657548
2012,S08000015,,75plus years,,Females,,Coronary Heart Disease,222,,1119.51588502269,,1086.1532985584277
2012,S08000016,,0-44 years,,Males,,Coronary Heart Disease,2,,7.46909661276469,,6.380981030254965
2012,S08000016,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000016,,45-64 years,,Males,,Coronary Heart Disease,18,,105.091078935077,,102.93407497218612
2012,S08000016,,45-64 years,,Females,,Coronary Heart Disease,6,,34.0580121473577,,35.04813360806206
2012,S08000016,,65-74 years,,Males,,Coronary Heart Disease,24,,359.928014397121,,359.681408603396
2012,S08000016,,65-74 years,,Females,,Coronary Heart Disease,9,,125.086865879083,,125.21323039768032
2012,S08000016,,75plus years,,Males,,Coronary Heart Disease,71,,1540.13015184382,,1802.0438638107992
2012,S08000016,,75plus years,,Females,,Coronary Heart Disease,69,,1067.4504950495,,1019.5025147955524
2012,S08000017,,0-44 years,,Males,,Coronary Heart Disease,2,,5.64907920009039,,6.362592433354774
2012,S08000017,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000017,,45-64 years,,Males,,Coronary Heart Disease,27,,121.703853955375,,122.35243636015323
2012,S08000017,,45-64 years,,Females,,Coronary Heart Disease,6,,25.935851992738,,25.722478233296005
2012,S08000017,,65-74 years,,Males,,Coronary Heart Disease,25,,275.027502750275,,281.9005679262416
2012,S08000017,,65-74 years,,Females,,Coronary Heart Disease,23,,235.318191119296,,239.6230581101755
2012,S08000017,,75plus years,,Males,,Coronary Heart Disease,79,,1209.24536966172,,1345.3637083295484
2012,S08000017,,75plus years,,Females,,Coronary Heart Disease,91,,1016.98703620921,,1010.2242068424532
2012,S08000019,,0-44 years,,Males,,Coronary Heart Disease,4,,4.8828125,,5.165598214280715
2012,S08000019,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000019,,45-64 years,,Males,,Coronary Heart Disease,45,,110.340092685678,,112.26676761475818
2012,S08000019,,45-64 years,,Females,,Coronary Heart Disease,12,,28.3963179441066,,28.962295619475423
2012,S08000019,,65-74 years,,Males,,Coronary Heart Disease,58,,423.976608187135,,433.5987635823513
2012,S08000019,,65-74 years,,Females,,Coronary Heart Disease,24,,156.188988676298,,159.71201019604618
2012,S08000019,,75plus years,,Males,,Coronary Heart Disease,122,,1359.02862871783,,1506.6519536431138
2012,S08000019,,75plus years,,Females,,Coronary Heart Disease,144,,1072.30620299352,,1063.61551793453
2012,S08000020,,0-44 years,,Males,,Coronary Heart Disease,4,,2.4347190942845,,2.524309117105928
2012,S08000020,,0-44 years,,Females,,Coronary Heart Disease,1,,0.626319184782949,,0.5500277764027083
2012,S08000020,,45-64 years,,Males,,Coronary Heart Disease,74,,95.3632825588288,,95.8158462415594
2012,S08000020,,45-64 years,,Females,,Coronary Heart Disease,17,,21.8450032767505,,22.133901028874313
2012,S08000020,,65-74 years,,Males,,Coronary Heart Disease,88,,357.331384253056,,369.2830855823375
2012,S08000020,,65-74 years,,Females,,Coronary Heart Disease,44,,163.989415228653,,167.57091289507895
2012,S08000020,,75plus years,,Males,,Coronary Heart Disease,223,,1303.10290422486,,1417.3130209330125
2012,S08000020,,75plus years,,Females,,Coronary Heart Disease,284,,1115.60670935303,,1082.3849208516613
2012,S08000022,,0-44 years,,Males,,Coronary Heart Disease,3,,3.76100092771356,,4.034813028594412
2012,S08000022,,0-44 years,,Females,,Coronary Heart Disease,0,,0,,0
2012,S08000022,,45-64 years,,Males,,Coronary Heart Disease,50,,106.096292995523,,104.3213014385285
2012,S08000022,,45-64 years,,Females,,Coronary Heart Disease,14,,28.6368843069874,,27.810633607126995
